module,subroutine,inst_type,inst_name,member_type,member_name,status
photosynthesistype,photosyns_vars_timestepinit,vegetation_physical_properties,veg_pp,integer,veg_pp%landunit,r
photosynthesistype,photosyns_vars_timestepinit,landunit_physical_properties,lun_pp,logical,lun_pp%lakpoi,r
photosynthesistype,photosyns_vars_timestepinit,landunit_physical_properties,lun_pp,integer,lun_pp%itype,r
photosynthesismod,photosynthesis,vegetation_physical_properties,veg_pp,integer,veg_pp%column,r
photosynthesismod,photosynthesis,vegetation_physical_properties,veg_pp,integer,veg_pp%topounit,r
photosynthesismod,photosynthesis,vegetation_physical_properties,veg_pp,integer,veg_pp%itype,r
photosynthesismod,photosynthesis,vegetation_properties_type,veg_vp,real,veg_vp%fnr,r
photosynthesismod,photosynthesis,vegetation_properties_type,veg_vp,real,veg_vp%act25,r
photosynthesismod,photosynthesis,vegetation_properties_type,veg_vp,real,veg_vp%kcha,r
photosynthesismod,photosynthesis,vegetation_properties_type,veg_vp,real,veg_vp%koha,r
photosynthesismod,photosynthesis,vegetation_properties_type,veg_vp,real,veg_vp%cpha,r
photosynthesismod,photosynthesis,vegetation_properties_type,veg_vp,real,veg_vp%vcmaxha,r
photosynthesismod,photosynthesis,vegetation_properties_type,veg_vp,real,veg_vp%jmaxha,r
photosynthesismod,photosynthesis,vegetation_properties_type,veg_vp,real,veg_vp%tpuha,r
photosynthesismod,photosynthesis,vegetation_properties_type,veg_vp,real,veg_vp%lmrha,r
photosynthesismod,photosynthesis,vegetation_properties_type,veg_vp,real,veg_vp%vcmaxhd,r
photosynthesismod,photosynthesis,vegetation_properties_type,veg_vp,real,veg_vp%jmaxhd,r
photosynthesismod,photosynthesis,vegetation_properties_type,veg_vp,real,veg_vp%tpuhd,r
photosynthesismod,photosynthesis,vegetation_properties_type,veg_vp,real,veg_vp%lmrhd,r
photosynthesismod,photosynthesis,vegetation_properties_type,veg_vp,real,veg_vp%lmrse,r
photosynthesismod,photosynthesis,vegetation_properties_type,veg_vp,real,veg_vp%c3psn,r
photosynthesismod,photosynthesis,vegetation_properties_type,veg_vp,real,veg_vp%qe,r
photosynthesismod,photosynthesis,vegetation_properties_type,veg_vp,real,veg_vp%theta_cj,r
photosynthesismod,photosynthesis,vegetation_properties_type,veg_vp,real,veg_vp%bbbopt,r
photosynthesismod,photosynthesis,vegetation_properties_type,veg_vp,real,veg_vp%mbbopt,r
photosynthesismod,photosynthesis,topounit_atmospheric_state,top_as,real,top_as%pbot,r
photosynthesismod,photosynthesis,vegetation_energy_state,veg_es,real,veg_es%t_veg,r
photosynthesismod,photosynthesis,vegetation_properties_type,veg_vp,real,veg_vp%slatop,r
photosynthesismod,photosynthesis,vegetation_properties_type,veg_vp,real,veg_vp%leafcn,r
photosynthesismod,photosynthesis,vegetation_properties_type,veg_vp,real,veg_vp%flnr,r
photosynthesismod,photosynthesis,vegetation_properties_type,veg_vp,real,veg_vp%fnitr,r
photosynthesismod,photosynthesis,vegetation_energy_state,veg_es,real,veg_es%t_a10,r
photosynthesismod,photosynthesis,vegetation_nitrogen_state,veg_ns,real,veg_ns%leafn,r
photosynthesismod,photosynthesis,vegetation_properties_type,veg_vp,real,veg_vp%i_vc,r
photosynthesismod,photosynthesis,vegetation_properties_type,veg_vp,real,veg_vp%s_vc,r
photosynthesismod,photosynthesis,vegetation_physical_properties,veg_pp,logical,veg_pp%active,r
photosynthesismod,photosynthesis,vegetation_phosphorus_state,veg_ps,real,veg_ps%leafp,r
photosynthesismod,photosynthesis,paramssharetype,paramsshareinst,real,paramsshareinst%q10_mr,r
photosynthesismod,photosynthesis,vegetation_energy_state,veg_es,real,veg_es%thm,r
photosynthesismod,photosynthesistotal,vegetation_physical_properties,veg_pp,integer,veg_pp%gridcell,r
photosynthesismod,photosynthesistotal,vegetation_physical_properties,veg_pp,integer,veg_pp%topounit,r
photosynthesismod,fractionation,vegetation_physical_properties,veg_pp,integer,veg_pp%column,r
photosynthesismod,fractionation,vegetation_physical_properties,veg_pp,integer,veg_pp%topounit,r
photosynthesismod,fractionation,vegetation_physical_properties,veg_pp,integer,veg_pp%gridcell,r
photosynthesismod,fractionation,vegetation_physical_properties,veg_pp,integer,veg_pp%itype,r
photosynthesismod,ci_func,topounit_atmospheric_state,top_as,real,top_as%pbot,r
photosynthesismod,photosynthesishydraulicstress,vegetation_physical_properties,veg_pp,integer,veg_pp%column,r
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%slatop,r
photosynthesismod,photosynthesishydraulicstress,vegetation_physical_properties,veg_pp,integer,veg_pp%itype,r
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%froot_leaf,r
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%stem_leaf,r
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%croot_stem,r
photosynthesismod,photosynthesishydraulicstress,column_physical_properties,col_pp,real,col_pp%dz,r
photosynthesismod,photosynthesishydraulicstress,vegetation_properties_type,veg_vp,real,veg_vp%root_radius,r
