module_name,dep_module_name,object_used
canopyfluxesmod,shr_kind_mod,shr_kind_r8
canopyfluxesmod,elm_varctl,use_c13
canopyfluxesmod,elm_varctl,use_lch4
canopyfluxesmod,elm_varctl,use_cn
canopyfluxesmod,elm_varctl,use_fates
canopyfluxesmod,elm_varctl,iulog
canopyfluxesmod,elm_varctl,use_c14
canopyfluxesmod,elm_varctl,use_hydrstress
canopyfluxesmod,elm_varpar,nlevgrnd
canopyfluxesmod,elm_varpar,nlevsno
canopyfluxesmod,elm_varcon,alpha_aero
canopyfluxesmod,elm_varcon,csoilc
canopyfluxesmod,elm_varcon,c14ratio
canopyfluxesmod,elm_varcon,namep
canopyfluxesmod,elm_varcon,tfrz
canopyfluxesmod,elm_varcon,denh2o
canopyfluxesmod,elm_varcon,tlsai_crit
canopyfluxesmod,elm_varcon,vkc
canopyfluxesmod,elm_varcon,grav
canopyfluxesmod,elm_varcon,cpair
canopyfluxesmod,elm_varcon,degpsec
canopyfluxesmod,elm_varcon,denice
canopyfluxesmod,elm_varcon,isecspday
canopyfluxesmod,elm_varcon,hvap
canopyfluxesmod,elm_varcon,sb
canopyfluxesmod,pftvarcon,irrigated
canopyfluxesmod,pftvarcon,nfixer
canopyfluxesmod,pftvarcon,crop
canopyfluxesmod,decompmod,bounds_type
canopyfluxesmod,photosynthesismod,photosynthesis
canopyfluxesmod,photosynthesismod,fractionation
canopyfluxesmod,photosynthesismod,photosynthesistotal
canopyfluxesmod,photosynthesismod,photosynthesishydraulicstress
canopyfluxesmod,soilmoiststressmod,set_perchroot_opt
canopyfluxesmod,soilmoiststressmod,calc_volumetric_h2oliq
canopyfluxesmod,soilmoiststressmod,calc_root_moist_stress
canopyfluxesmod,soilmoiststressmod,calc_effective_soilporosity
canopyfluxesmod,surfaceresistancemod,do_soilevap_beta
canopyfluxesmod,surfaceresistancemod,getlblcef
canopyfluxesmod,vegetationpropertiestype,veg_vp
canopyfluxesmod,atm2lndtype,atm2lnd_type
canopyfluxesmod,canopystatetype,perchroot
canopyfluxesmod,canopystatetype,perchroot_alt
canopyfluxesmod,canopystatetype,canopystate_type
canopyfluxesmod,cnstatetype,cnstate_type
canopyfluxesmod,energyfluxtype,energyflux_type
canopyfluxesmod,frictionvelocitytype,frictionvel_type
canopyfluxesmod,soilstatetype,soilstate_type
canopyfluxesmod,solarabsorbedtype,solarabs_type
canopyfluxesmod,surfacealbedotype,surfalb_type
canopyfluxesmod,ch4mod,ch4_type
canopyfluxesmod,photosynthesistype,photosyns_vars_timestepinit
canopyfluxesmod,photosynthesistype,photosyns_type
