subroutine,arg_type,arg_name,dim
elm_varctl_set,character,caseid_in,0
elm_varctl_set,character,ctitle_in,0
elm_varctl_set,logical,brnch_retain_casename_in,0
elm_varctl_set,logical,single_column_in,0
elm_varctl_set,logical,scm_multcols_in,0
elm_varctl_set,real,scmlat_in,0
elm_varctl_set,real,scmlon_in,0
elm_varctl_set,integer,scm_nx_in,0
elm_varctl_set,integer,scm_ny_in,0
elm_varctl_set,integer,nsrest_in,0
elm_varctl_set,character,version_in,0
elm_varctl_set,character,hostname_in,0
elm_varctl_set,character,username_in,0
cnallocate_carbon_only_set,logical,carbon_only_in,0
cnallocate_carbonnitrogen_only_set,logical,carbonnitrogen_only_in,0
cnallocate_carbonphosphorus_only_set,logical,carbonphosphorus_only_in,0
get_carbontag,character,carbon_type,0
shr_const_isspval,real,rval,0
domain_init,domain_type,domain,0
domain_init,logical,isgrid2d,0
domain_init,integer,ni,0
domain_init,integer,nj,0
domain_init,integer,nbeg,0
domain_init,integer,nend,0
domain_init,character,elmlevel,0
domain_clean,domain_type,domain,0
domain_check,domain_type,domain,0
get_beg,bounds_type,bounds,0
get_beg,integer,subgrid_level,0
get_end,bounds_type,bounds,0
get_end,integer,subgrid_level,0
get_clump_bounds_new,integer,n,0
get_clump_bounds_new,bounds_type,bounds,0
get_clump_bounds_old,integer,n,0
get_clump_bounds_old,integer,begg,0
get_clump_bounds_old,integer,endg,0
get_clump_bounds_old,integer,begt,0
get_clump_bounds_old,integer,endt,0
get_clump_bounds_old,integer,begl,0
get_clump_bounds_old,integer,endl,0
get_clump_bounds_old,integer,begc,0
get_clump_bounds_old,integer,endc,0
get_clump_bounds_old,integer,begp,0
get_clump_bounds_old,integer,endp,0
get_clump_bounds_old,integer,begcohort,0
get_clump_bounds_old,integer,endcohort,0
get_proc_bounds_new,bounds_type,bounds,0
get_proc_bounds_old,integer,begg,0
get_proc_bounds_old,integer,endg,0
get_proc_bounds_old,integer,begt,0
get_proc_bounds_old,integer,endt,0
get_proc_bounds_old,integer,begl,0
get_proc_bounds_old,integer,endl,0
get_proc_bounds_old,integer,begc,0
get_proc_bounds_old,integer,endc,0
get_proc_bounds_old,integer,begp,0
get_proc_bounds_old,integer,endp,0
get_proc_bounds_old,integer,begcohort,0
get_proc_bounds_old,integer,endcohort,0
get_proc_total,integer,pid,0
get_proc_total,integer,ncells,0
get_proc_total,integer,ntunits,0
get_proc_total,integer,nlunits,0
get_proc_total,integer,ncols,0
get_proc_total,integer,npfts,0
get_proc_total,integer,ncohorts,0
get_proc_global,integer,ng,0
get_proc_global,integer,nt,0
get_proc_global,integer,nl,0
get_proc_global,integer,nc,0
get_proc_global,integer,np,0
get_proc_global,integer,ncohorts,0
get_elmlevel_gsize,character,elmlevel,0
get_proc_total_ghosts,integer,ncells_ghost,0
get_proc_total_ghosts,integer,ntunits_ghost,0
get_proc_total_ghosts,integer,nlunits_ghost,0
get_proc_total_ghosts,integer,ncols_ghost,0
