parent_subroutine,child_subroutine
photosynthesis,quadratic
photosynthesis,hybrid
hybrid,ci_func
hybrid,brent
brent,ci_func
ci_func,quadratic
photosynthesishydraulicstress,calcstress
photosynthesishydraulicstress,quadratic
photosynthesishydraulicstress,hybrid_phs
hybrid_phs,ci_func_phs
hybrid_phs,brent_phs
hybrid_phs,getvegwp
brent_phs,ci_func_phs
ci_func_phs,calcstress
ci_func_phs,quadratic
calcstress,getqflx
calcstress,spacf
calcstress,spaca
calcstress,matvec_acc
calcstress,getvegwp
getvegwp,getqflx
normalize_unfrozen_rootfr,array_normalization_2d_filter
calc_root_moist_stress,normalize_unfrozen_rootfr
calc_root_moist_stress,calc_root_moist_stress_clm45default
canopyfluxes,photosyns_vars_timestepinit
canopyfluxes,calc_effective_soilporosity
canopyfluxes,calc_volumetric_h2oliq
canopyfluxes,set_perchroot_opt
canopyfluxes,calc_root_moist_stress
canopyfluxes,qsat
canopyfluxes,moninobukini
canopyfluxes,frictionvelocity
canopyfluxes,shr_flux_update_stress
canopyfluxes,photosynthesishydraulicstress
canopyfluxes,photosynthesis
canopyfluxes,fractionation
canopyfluxes,photosynthesistotal
lakefluxes,qsat
lakefluxes,moninobukini
lakefluxes,frictionvelocity
lakefluxes,shr_flux_update_stress
baregroundfluxes,moninobukini
baregroundfluxes,frictionvelocity
baregroundfluxes,shr_flux_update_stress
baregroundfluxes,qsat
