module,user_type_name,member_type,member_name,dim,bounds,active
decompmod,bounds_type,integer,begg,0,,False
decompmod,bounds_type,integer,endg,0,,False
decompmod,bounds_type,integer,begt,0,,False
decompmod,bounds_type,integer,endt,0,,False
decompmod,bounds_type,integer,begl,0,,False
decompmod,bounds_type,integer,endl,0,,False
decompmod,bounds_type,integer,begc,0,,False
decompmod,bounds_type,integer,endc,0,,False
decompmod,bounds_type,integer,begp,0,,False
decompmod,bounds_type,integer,endp,0,,False
decompmod,bounds_type,integer,begcohort,0,,False
decompmod,bounds_type,integer,endcohort,0,,False
decompmod,bounds_type,integer,begg_ghost,0,,False
decompmod,bounds_type,integer,endg_ghost,0,,False
decompmod,bounds_type,integer,begt_ghost,0,,False
decompmod,bounds_type,integer,endt_ghost,0,,False
decompmod,bounds_type,integer,begl_ghost,0,,False
decompmod,bounds_type,integer,endl_ghost,0,,False
decompmod,bounds_type,integer,begc_ghost,0,,False
decompmod,bounds_type,integer,endc_ghost,0,,False
decompmod,bounds_type,integer,begp_ghost,0,,False
decompmod,bounds_type,integer,endp_ghost,0,,False
decompmod,bounds_type,integer,begcohort_ghost,0,,False
decompmod,bounds_type,integer,endcohort_ghost,0,,False
decompmod,bounds_type,integer,begg_all,0,,False
decompmod,bounds_type,integer,endg_all,0,,False
decompmod,bounds_type,integer,begt_all,0,,False
decompmod,bounds_type,integer,endt_all,0,,False
decompmod,bounds_type,integer,begl_all,0,,False
decompmod,bounds_type,integer,endl_all,0,,False
decompmod,bounds_type,integer,begc_all,0,,False
decompmod,bounds_type,integer,endc_all,0,,False
decompmod,bounds_type,integer,begp_all,0,,False
decompmod,bounds_type,integer,endp_all,0,,False
decompmod,bounds_type,integer,begcohort_all,0,,False
decompmod,bounds_type,integer,endcohort_all,0,,False
decompmod,bounds_type,integer,level,0,,False
decompmod,bounds_type,integer,clump_index,0,,False
decompmod,processor_type,integer,nclumps,0,,False
decompmod,processor_type,integer,ncells,0,,False
decompmod,processor_type,integer,ntunits,0,,False
decompmod,processor_type,integer,nlunits,0,,False
decompmod,processor_type,integer,ncols,0,,False
decompmod,processor_type,integer,npfts,0,,False
